1;1;1;2699
1;1;2;6498
1;1;3;1726
1;1;4;22184
1;1;5;29032
1;1;6;6771
1;1;7;26836
1;1;8;23596
1;1;9;15074
1;1;10;28516
1;1;11;26515
1;1;12;33686
1;1;13;406
1;1;14;1212
1;1;15;27965
1;1;16;25213
1;1;17;16908
1;1;18;20215
1;1;19;4825
1;1;20;30730
1;1;21;3219
1;1;22;114
1;1;23;24043
1;1;24;7492
1;1;25;5209
1;1;26;30026
1;1;27;22704
1;1;28;28784
1;1;29;32774
1;1;30;16919
1;1;31;4782
1;1;32;21343
1;1;33;2500
1;1;34;16575
1;1;35;15767
1;1;36;4579
1;1;37;23728
1;1;38;33236
1;1;39;0
1;1;40;5053
1;1;41;24306
1;1;42;7359
1;1;43;7357
1;1;44;16960
1;1;45;7355
1;1;46;7373
1;1;47;33985
1;1;48;1255
1;1;49;1267
1;1;50;29839
1;1;51;2094
1;1;52;21297
1;1;53;205
1;1;54;25082
1;1;55;1957
1;1;56;31136
1;1;57;1268
1;1;58;5036
1;1;59;851
1;1;60;31156
1;1;61;26190
1;1;62;29885
1;1;63;30149
1;1;64;28007
1;1;65;1247
1;1;66;18887
1;1;67;4779
1;1;68;1246
1;1;69;16673
1;1;70;1084
1;1;71;5792
1;1;72;32079
1;1;73;2483
1;1;74;29975
1;1;75;8971
1;1;76;21094
1;1;77;2741
1;1;78;7646
1;1;79;8233
1;1;80;835
1;1;81;162
1;1;82;31483
1;1;83;30657
1;1;84;7430
1;1;85;4337
1;1;86;783
1;1;87;7791
1;1;88;1213
1;1;89;1007
1;1;90;141
1;1;91;574
1;1;92;571
1;1;93;33206
1;1;94;32876
1;1;95;1583
1;1;96;32300
1;1;97;15674
1;1;98;19375
1;1;99;550
1;1;100;23726
1;1;101;34650
1;1;102;34646
1;1;103;7477
1;1;104;8201
1;1;105;7316
1;1;106;26046
1;1;107;6587
1;1;108;6168
1;1;109;23810
1;1;110;1374
1;1;111;0
2;1;1;32889
2;1;2;28825
2;1;3;4910
2;1;4;2949
2;1;5;4987
2;1;6;6286
2;1;7;4750
2;1;8;2316
2;1;9;5224
2;1;10;26079
2;1;11;4753
2;1;12;4350
2;1;13;5005
2;1;14;4879
2;1;15;5015
2;1;16;895
2;1;17;15458
2;1;18;29509
2;1;19;4958
2;1;20;5010
2;1;21;18
